A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,255
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,255, G=,255, B=,255
A=,255, R=,255, G=,255, B=,255
A=,255, R=,255, G=,255, B=,255
A=,255, R=,255, G=,255, B=,255
A=,255, R=,255, G=,255, B=,255
A=,255, R=,255, G=,255, B=,255
A=,255, R=,255, G=,255, B=,255
A=,255, R=,255, G=,255, B=,255
A=,255, R=,255, G=,255, B=,255
A=,255, R=,255, G=,255, B=,255
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
A=,255, R=,0, G=,0, B=,0
